Name,Group,Key,Css,Hex,R,G,B,A
Ink_Void,Ink,Ink.Void,#05070b,#05070b,0.0196,0.0275,0.0431,1
Ink_Screen,Ink,Ink.Screen,#0b101a,#0b101a,0.0431,0.0627,0.102,1
Ink_Panel,Ink,Ink.Panel,#151b28,#151b28,0.0824,0.1059,0.1569,1
Ink_Raised,Ink,Ink.Raised,#1e2534,#1e2534,0.1176,0.1451,0.2039,1
Ink_Deep,Ink,Ink.Deep,#0a0c11,#0a0c11,0.0392,0.0471,0.0667,1
Fg_Bright,Fg,Fg.Bright,#f4f1e8,#f4f1e8,0.9569,0.9451,0.9098,1
Fg_Muted,Fg,Fg.Muted,"rgba(244,241,232,.62)",#f4f1e8,0.9569,0.9451,0.9098,0.62
Fg_Faint,Fg,Fg.Faint,"rgba(244,241,232,.32)",#f4f1e8,0.9569,0.9451,0.9098,0.32
Fg_White,Fg,Fg.White,#fdfaf2,#fdfaf2,0.9922,0.9804,0.949,1
Fg_Sand,Fg,Fg.Sand,#e8dcc0,#e8dcc0,0.9098,0.8627,0.7529,1
Fg_Dim,Fg,Fg.Dim,#8a8574,#8a8574,0.5412,0.5216,0.4549,1
Brand_Red,Brand,Brand.Red,#c8102e,#c8102e,0.7843,0.0627,0.1804,1
Brand_Green,Brand,Brand.Green,#007a3d,#007a3d,0,0.4784,0.2392,1
Brand_Gold,Brand,Brand.Gold,#edbe57,#edbe57,0.9294,0.7451,0.3412,1
State_Health,State,State.Health,#37c26b,#37c26b,0.2157,0.7608,0.4196,1
State_Critical,State,State.Critical,#e2413f,#e2413f,0.8863,0.2549,0.2471,1
State_Hurt,State,State.Hurt,#ff9a97,#ff9a97,1,0.6039,0.5922,1
State_Mana,State,State.Mana,#ff9a3c,#ff9a3c,1,0.6039,0.2353,1
State_Stamina,State,State.Stamina,#59b6ff,#59b6ff,0.349,0.7137,1,1
State_Rage,State,State.Rage,#7a4a90,#7a4a90,0.4784,0.2902,0.5647,1
State_RageFull,State,State.RageFull,#e05cf0,#e05cf0,0.8784,0.3608,0.9412,1
State_RageText,State,State.RageText,#e9a7ff,#e9a7ff,0.9137,0.6549,1,1
Rank_S,Rank,Rank.S,#e05cf0,#e05cf0,0.8784,0.3608,0.9412,1
Rank_A,Rank,Rank.A,#edbe57,#edbe57,0.9294,0.7451,0.3412,1
Rank_B,Rank,Rank.B,#37c26b,#37c26b,0.2157,0.7608,0.4196,1
Rank_C,Rank,Rank.C,#8a8574,#8a8574,0.5412,0.5216,0.4549,1
Pickup_Health,Pickup,Pickup.Health,#37c26b,#37c26b,0.2157,0.7608,0.4196,1
Pickup_Weapon,Pickup,Pickup.Weapon,#c9d2de,#c9d2de,0.7882,0.8235,0.8706,1
Pickup_Rage,Pickup,Pickup.Rage,#e05cf0,#e05cf0,0.8784,0.3608,0.9412,1
Control_Punch,Control,Control.Punch,#e2413f,#e2413f,0.8863,0.2549,0.2471,1
Control_Kick,Control,Control.Kick,#edbe57,#edbe57,0.9294,0.7451,0.3412,1
Control_Block,Control,Control.Block,#5aa9e6,#5aa9e6,0.3529,0.6627,0.902,1
Control_Rage,Control,Control.Rage,#b46ce0,#b46ce0,0.7059,0.4235,0.8784,1
Difficulty_Rookie,Difficulty,Difficulty.Rookie,#37c26b,#37c26b,0.2157,0.7608,0.4196,1
Difficulty_Pro,Difficulty,Difficulty.Pro,#edbe57,#edbe57,0.9294,0.7451,0.3412,1
Difficulty_Champion,Difficulty,Difficulty.Champion,#e2413f,#e2413f,0.8863,0.2549,0.2471,1
Line_Accent,Line,Line.Accent,"rgba(237,190,87,.20)",#edbe57,0.9294,0.7451,0.3412,0.2
Line_Soft,Line,Line.Soft,"rgba(255,255,255,.07)",#ffffff,1,1,1,0.07
