Name,DisplayName,DisplayNameArabic,MaxHealth,PowerMultiplier,MoveSpeed,PreferredRange,AttackInterval,GuardChance,bHitAndRun,bIsBoss,ExperienceValue,Moves,FightStyle
Ahmed,AHMED,أحمد,100,1,341,139,0,0,false,false,0,"(""Jab"",""Cross"",""Hook"",""Kick"",""Knee"")",
Thug,Souq Thug,بلطجي,46,0.8,288,130,1.55,0.2,false,false,14,"(""Jab"",""Cross"")",/Game/Data/Generated/DA_Style_Thug.DA_Style_Thug
Brawler,Brawler,مشاكس,68,1,317,139,1.25,0.19,false,false,21,"(""Jab"",""Cross"",""Hook"")",/Game/Data/Generated/DA_Style_Brawler.DA_Style_Brawler
Kicker,Kickboxer,ملاكم,60,1.15,389,178,1.1,0.17,false,false,26,"(""Kick"",""Jab"",""Kick"",""Cross"")",/Game/Data/Generated/DA_Style_Kicker.DA_Style_Kicker
Grappler,Grappler,مصارع,110,1.35,235,110,1.75,0.29,false,false,34,"(""Knee"",""Hook"",""Knee"")",/Game/Data/Generated/DA_Style_Grappler.DA_Style_Grappler
Champ,Contender,منافس,160,1.35,365,163,0.95,0.26,false,false,52,"(""Jab"",""Cross"",""Kick"",""Hook"",""Knee"")",/Game/Data/Generated/DA_Style_Champ.DA_Style_Champ
Runner,Runner,خطّاف,42,0.85,504,134,0.85,0.13,true,false,22,"(""Jab"",""Jab"",""Cross"")",/Game/Data/Generated/DA_Style_Runner.DA_Style_Runner
Bouncer,Bouncer,حارس,150,1.3,250,125,1.9,0.34,false,false,40,"(""Hook"",""Knee"",""Hook"")",/Game/Data/Generated/DA_Style_Bouncer.DA_Style_Bouncer
Capo,Enforcer,مُنفّذ,118,1.2,403,154,0.78,0.2,false,false,44,"(""Jab"",""Cross"",""Hook"",""Jab"",""Kick"")",/Game/Data/Generated/DA_Style_Capo.DA_Style_Capo
Boss,AL-WAHSH,الوحش,430,1.45,350,173,0.88,0.52,false,true,220,"(""Jab"",""Cross"",""Hook"",""Kick"",""Knee"")",/Game/Data/Generated/DA_Style_Boss.DA_Style_Boss
Saqr,AL-SAQR,الصقر,290,1.3,446,182,0.8,0.37,false,true,150,"(""Kick"",""Jab"",""Kick"",""Cross"",""Knee"")",/Game/Data/Generated/DA_Style_Saqr.DA_Style_Saqr
