Name,Level,ExperienceRequired,StepFromPrevious,Title,BonusHealth,BonusMana
Level_01,1,0,0,ROOKIE,0,0
Level_02,2,166,166,ROOKIE,6,4
Level_03,3,384,218,AMATEUR,12,8
Level_04,4,654,270,AMATEUR,18,12
Level_05,5,976,322,AMATEUR,24,16
Level_06,6,1350,374,PROSPECT,30,20
Level_07,7,1776,426,PROSPECT,36,24
Level_08,8,2254,478,PROSPECT,42,28
Level_09,9,2784,530,PROSPECT,48,32
Level_10,10,3366,582,RANKED,54,36
Level_11,11,4000,634,RANKED,60,40
Level_12,12,4686,686,RANKED,66,44
Level_13,13,5424,738,RANKED,72,48
Level_14,14,6214,790,CONTENDER,78,52
Level_15,15,7056,842,CONTENDER,84,56
Level_16,16,7950,894,CONTENDER,90,60
Level_17,17,8896,946,CONTENDER,96,64
Level_18,18,9894,998,CHAMPION,102,68
Level_19,19,10944,1050,CHAMPION,108,72
Level_20,20,12046,1102,CHAMPION,114,76
