Name,Fighter,Attack,File,Seconds,Frames,ContactFrame,Limb,bLoop,bPhaseTwo,State,Direction
A_Saud_Jab,Saud,Jab,A_Saud_Jab.fbx,0.260,8,2,lead_arm,false,false,Attack,
A_Saud_Cross,Saud,Cross,A_Saud_Cross.fbx,0.360,11,3,rear_arm,false,false,Attack,
A_Saud_Hook,Saud,Hook,A_Saud_Hook.fbx,0.480,14,4,rear_arm,false,false,Attack,
A_Saud_Kick,Saud,Kick,A_Saud_Kick.fbx,0.530,16,5,rear_leg,false,false,Attack,
A_Saud_Knee,Saud,Knee,A_Saud_Knee.fbx,0.470,14,4,rear_leg,false,false,Attack,
A_Saud_Special,Saud,Special,A_Saud_Special.fbx,0.780,23,5,rear_leg,false,false,Attack,
A_Saud_Guard,Saud,,A_Saud_Guard.fbx,2.618,79,-1,,true,false,Idle,
A_Saud_Walk_Fwd,Saud,,A_Saud_Walk_Fwd.fbx,0.571,17,-1,,true,false,Walk,Fwd
A_Saud_Walk_Back,Saud,,A_Saud_Walk_Back.fbx,0.571,17,-1,,true,false,Walk,Back
A_Saud_Walk_Left,Saud,,A_Saud_Walk_Left.fbx,0.571,17,-1,,true,false,Walk,Left
A_Saud_Walk_Right,Saud,,A_Saud_Walk_Right.fbx,0.571,17,-1,,true,false,Walk,Right
A_Saud_Dash_Fwd,Saud,,A_Saud_Dash_Fwd.fbx,0.240,7,-1,,false,false,Dash,Fwd
A_Saud_Dash_Back,Saud,,A_Saud_Dash_Back.fbx,0.240,7,-1,,false,false,Dash,Back
A_Saud_Dash_Left,Saud,,A_Saud_Dash_Left.fbx,0.240,7,-1,,false,false,Dash,Left
A_Saud_Dash_Right,Saud,,A_Saud_Dash_Right.fbx,0.240,7,-1,,false,false,Dash,Right
A_Saud_Block,Saud,,A_Saud_Block.fbx,2.618,79,-1,,true,false,Block,
A_Saud_Hit_Light,Saud,,A_Saud_Hit_Light.fbx,0.220,7,-1,,false,false,Hit,
A_Saud_Hit_Heavy,Saud,,A_Saud_Hit_Heavy.fbx,0.340,10,-1,,false,false,Hit,
A_Saud_Down,Saud,,A_Saud_Down.fbx,0.850,26,-1,,false,false,Down,
A_Saud_GetUp,Saud,,A_Saud_GetUp.fbx,0.600,18,-1,,false,false,Idle,
