Name,Fighter,Attack,File,Seconds,Frames,ContactFrame,Limb,bLoop,bPhaseTwo,State,Direction
A_Street_Jab,Street,Jab,A_Street_Jab.fbx,0.260,8,2,lead_arm,false,false,Attack,
A_Street_Cross,Street,Cross,A_Street_Cross.fbx,0.360,11,3,rear_arm,false,false,Attack,
A_Street_Hook,Street,Hook,A_Street_Hook.fbx,0.480,14,4,rear_arm,false,false,Attack,
A_Street_Kick,Street,Kick,A_Street_Kick.fbx,0.530,16,5,rear_leg,false,false,Attack,
A_Street_Knee,Street,Knee,A_Street_Knee.fbx,0.470,14,4,rear_leg,false,false,Attack,
A_Street_Special,Street,Special,A_Street_Special.fbx,0.780,23,5,rear_leg,false,false,Attack,
A_Street_Guard,Street,,A_Street_Guard.fbx,2.618,79,-1,,true,false,Idle,
A_Street_Walk_Fwd,Street,,A_Street_Walk_Fwd.fbx,0.571,17,-1,,true,false,Walk,Fwd
A_Street_Walk_Back,Street,,A_Street_Walk_Back.fbx,0.571,17,-1,,true,false,Walk,Back
A_Street_Walk_Left,Street,,A_Street_Walk_Left.fbx,0.571,17,-1,,true,false,Walk,Left
A_Street_Walk_Right,Street,,A_Street_Walk_Right.fbx,0.571,17,-1,,true,false,Walk,Right
A_Street_Dash_Fwd,Street,,A_Street_Dash_Fwd.fbx,0.240,7,-1,,false,false,Dash,Fwd
A_Street_Dash_Back,Street,,A_Street_Dash_Back.fbx,0.240,7,-1,,false,false,Dash,Back
A_Street_Dash_Left,Street,,A_Street_Dash_Left.fbx,0.240,7,-1,,false,false,Dash,Left
A_Street_Dash_Right,Street,,A_Street_Dash_Right.fbx,0.240,7,-1,,false,false,Dash,Right
A_Street_Block,Street,,A_Street_Block.fbx,2.618,79,-1,,true,false,Block,
A_Street_Hit_Light,Street,,A_Street_Hit_Light.fbx,0.220,7,-1,,false,false,Hit,
A_Street_Hit_Heavy,Street,,A_Street_Hit_Heavy.fbx,0.340,10,-1,,false,false,Hit,
A_Street_Down,Street,,A_Street_Down.fbx,0.850,26,-1,,false,false,Down,
A_Street_GetUp,Street,,A_Street_GetUp.fbx,0.600,18,-1,,false,false,Idle,
