Name,Level,ExperienceRequired,StepFromPrevious,Title,BonusHealth,BonusMana
Level_01,1,0,0,ROOKIE,0,0
Level_02,2,21,21,ROOKIE,6,4
Level_03,3,48,27,AMATEUR,12,8
Level_04,4,82,34,AMATEUR,18,12
Level_05,5,122,40,AMATEUR,24,16
Level_06,6,168,46,PROSPECT,30,20
Level_07,7,220,52,PROSPECT,36,24
Level_08,8,278,58,PROSPECT,42,28
Level_09,9,342,64,PROSPECT,48,32
Level_10,10,413,71,RANKED,54,36
Level_11,11,490,77,RANKED,60,40
Level_12,12,573,83,RANKED,66,44
Level_13,13,662,89,RANKED,72,48
Level_14,14,758,96,CONTENDER,78,52
Level_15,15,860,102,CONTENDER,84,56
Level_16,16,968,108,CONTENDER,90,60
Level_17,17,1082,114,CONTENDER,96,64
Level_18,18,1202,120,CHAMPION,102,68
Level_19,19,1328,126,CHAMPION,108,72
Level_20,20,1461,133,CHAMPION,114,76
